"Day","Animal","Group","TV"
0,"Control_1","Control",115.50796492354
3,"Control_1","Control",330.419461856183
6,"Control_1","Control",321.841189270426
9,"Control_1","Control",386.864409434053
12,"Control_1","Control",642.549477306437
15,"Control_1","Control",1411.56750793081
18,"Control_1","Control",1521.89553481766
21,"Control_1","Control",2190.97881310787
24,"Control_1","Control",2631.3054458337
27,"Control_1","Control",2326.86144820151
30,"Control_1","Control",3761.78276591395
33,"Control_1","Control",7043.38390856513
36,"Control_1","Control",6526.07793261197
39,"Control_1","Control",6403.22564506669
42,"Control_1","Control",4350.81727868479
45,"Control_1","Control",5472.70256835872
48,"Control_1","Control",4160.91652658912
51,"Control_1","Control",3246.36170803573
54,"Control_1","Control",8326.2556299637
57,"Control_1","Control",5373.29843869331
60,"Control_1","Control",7301.66154157866
0,"Control_2","Control",55.6497069880582
3,"Control_2","Control",127.867156977302
6,"Control_2","Control",377.622170872614
9,"Control_2","Control",383.939629809197
12,"Control_2","Control",491.551988085047
15,"Control_2","Control",860.225129945466
18,"Control_2","Control",1991.9824008843
21,"Control_2","Control",1984.67008505416
24,"Control_2","Control",1143.63299001677
27,"Control_2","Control",2212.69832103718
30,"Control_2","Control",2868.19918363576
33,"Control_2","Control",2444.84901119177
36,"Control_2","Control",6457.8069208418
39,"Control_2","Control",5000.96580112
42,"Control_2","Control",5326.72292266484
45,"Control_2","Control",5664.38684699948
48,"Control_2","Control",3993.61976525738
51,"Control_2","Control",6020.5935017458
54,"Control_2","Control",5212.70419564996
57,"Control_2","Control",6081.14930476171
60,"Control_2","Control",6304.36714437018
0,"Control_3","Control",92.7797325767037
3,"Control_3","Control",154.890397517077
6,"Control_3","Control",374.423022799245
9,"Control_3","Control",584.586519831392
12,"Control_3","Control",803.711638599506
15,"Control_3","Control",1540.5848317077
18,"Control_3","Control",1412.3905482811
21,"Control_3","Control",2236.55219364133
24,"Control_3","Control",1424.70265969978
27,"Control_3","Control",1678.77189663202
30,"Control_3","Control",5010.79781196849
33,"Control_3","Control",4457.08201067045
36,"Control_3","Control",3246.62576506176
39,"Control_3","Control",3763.86338899476
42,"Control_3","Control",4046.810021752
45,"Control_3","Control",5990.1705908014
48,"Control_3","Control",7770.60871156911
51,"Control_3","Control",4631.98355725823
54,"Control_3","Control",7540.42428634922
57,"Control_3","Control",6784.15716258832
60,"Control_3","Control",5889.84953160509
0,"Control_4","Control",145.783550686845
3,"Control_4","Control",263.686099651483
6,"Control_4","Control",458.74518235427
9,"Control_4","Control",374.36896925855
12,"Control_4","Control",1399.58877588153
15,"Control_4","Control",1200.44844735147
18,"Control_4","Control",1476.14051361393
21,"Control_4","Control",1708.61718371878
24,"Control_4","Control",3162.20105586349
27,"Control_4","Control",3203.17659510776
30,"Control_4","Control",2299.40985441353
33,"Control_4","Control",4313.07246715965
36,"Control_4","Control",3294.8633626589
39,"Control_4","Control",5792.12445870347
42,"Control_4","Control",4281.41857351522
45,"Control_4","Control",4793.11465324775
48,"Control_4","Control",4038.5860059281
51,"Control_4","Control",4156.26231772345
54,"Control_4","Control",5181.05212657066
57,"Control_4","Control",4870.26301064288
60,"Control_4","Control",4476.29494489243
0,"Control_5","Control",78.3329093753312
3,"Control_5","Control",160.151204316254
6,"Control_5","Control",445.302937696721
9,"Control_5","Control",440.665766846896
12,"Control_5","Control",895.659571146355
15,"Control_5","Control",905.217057949064
18,"Control_5","Control",1622.07384798953
21,"Control_5","Control",1875.46342680085
24,"Control_5","Control",2619.25111200158
27,"Control_5","Control",3048.43659049553
30,"Control_5","Control",3126.79557799152
33,"Control_5","Control",4236.51998980755
36,"Control_5","Control",5521.48459293853
39,"Control_5","Control",3676.95891532346
42,"Control_5","Control",3861.67516711532
45,"Control_5","Control",3739.60010482825
48,"Control_5","Control",3069.38063626014
51,"Control_5","Control",4180.04626379682
54,"Control_5","Control",5248.57012808306
57,"Control_5","Control",7070.49892747807
60,"Control_5","Control",6740.05113635317
0,"Control_6","Control",102.624378379164
3,"Control_6","Control",170.973557162761
6,"Control_6","Control",375.866803432239
9,"Control_6","Control",827.798394211793
12,"Control_6","Control",834.850277952839
15,"Control_6","Control",1347.48469264912
18,"Control_6","Control",1087.53610884205
21,"Control_6","Control",1890.916994362
24,"Control_6","Control",3130.63125862149
27,"Control_6","Control",3071.29044455859
30,"Control_6","Control",2832.57910497247
33,"Control_6","Control",4417.62222786864
36,"Control_6","Control",2593.80633008189
39,"Control_6","Control",3671.08617871715
42,"Control_6","Control",4623.70681984884
45,"Control_6","Control",4067.70284203277
48,"Control_6","Control",3354.79388647901
51,"Control_6","Control",4607.41785462628
54,"Control_6","Control",3880.54308249189
57,"Control_6","Control",5438.18770041061
60,"Control_6","Control",6648.2382755338
0,"Control_7","Control",196.691742893783
3,"Control_7","Control",387.331870038498
6,"Control_7","Control",432.931672388615
9,"Control_7","Control",752.738218393976
12,"Control_7","Control",879.936869148616
15,"Control_7","Control",1417.71471861559
18,"Control_7","Control",2290.75097651651
21,"Control_7","Control",1116.2209549182
24,"Control_7","Control",2758.46731386622
27,"Control_7","Control",4325.82420940392
30,"Control_7","Control",3275.95279214959
33,"Control_7","Control",3313.95862203986
36,"Control_7","Control",2970.00916539282
39,"Control_7","Control",4377.87025297147
42,"Control_7","Control",3284.1833157253
45,"Control_7","Control",5307.29840000089
48,"Control_7","Control",3964.57012787126
51,"Control_7","Control",7362.93359997835
54,"Control_7","Control",6476.46120321826
57,"Control_7","Control",5821.4595810315
60,"Control_7","Control",5612.3718887024
0,"Control_8","Control",84.6822088913249
3,"Control_8","Control",167.579540813335
6,"Control_8","Control",501.791194772203
9,"Control_8","Control",377.102066153054
12,"Control_8","Control",661.588950255579
15,"Control_8","Control",1425.71267732701
18,"Control_8","Control",2298.33567653097
21,"Control_8","Control",2604.47865666086
24,"Control_8","Control",2076.99284553392
27,"Control_8","Control",1577.1467742225
30,"Control_8","Control",1930.2323843383
33,"Control_8","Control",5288.99881323547
36,"Control_8","Control",3181.94275971666
39,"Control_8","Control",4582.30040335881
42,"Control_8","Control",4947.0662632346
45,"Control_8","Control",5586.32847920489
48,"Control_8","Control",5693.88691816839
51,"Control_8","Control",2847.53207965657
54,"Control_8","Control",6402.71191303129
57,"Control_8","Control",6148.43701646933
60,"Control_8","Control",5959.56555798349
0,"Control_9","Control",83.6036313406129
3,"Control_9","Control",218.035137634426
6,"Control_9","Control",379.616726547874
9,"Control_9","Control",519.139548203412
12,"Control_9","Control",550.054940203926
15,"Control_9","Control",920.384205728364
18,"Control_9","Control",1940.62456979058
21,"Control_9","Control",1725.72926287819
24,"Control_9","Control",1855.20591841278
27,"Control_9","Control",3129.22036465148
30,"Control_9","Control",3534.68944755887
33,"Control_9","Control",2792.32309743684
36,"Control_9","Control",3992.94681394698
39,"Control_9","Control",2467.0561898665
42,"Control_9","Control",4915.26328849016
45,"Control_9","Control",4465.37287754376
48,"Control_9","Control",4709.47450745796
51,"Control_9","Control",5712.37657090953
54,"Control_9","Control",5066.28452176351
57,"Control_9","Control",8056.94083417458
60,"Control_9","Control",5267.64873881848
0,"Control_10","Control",93.3951595623311
3,"Control_10","Control",223.620631775861
6,"Control_10","Control",441.65253017667
9,"Control_10","Control",580.637433013457
12,"Control_10","Control",785.263640209502
15,"Control_10","Control",1300.0456890288
18,"Control_10","Control",1375.41509931653
21,"Control_10","Control",2533.87735975011
24,"Control_10","Control",1748.30671719152
27,"Control_10","Control",2875.78364654464
30,"Control_10","Control",2705.0945757446
33,"Control_10","Control",3723.55323415436
36,"Control_10","Control",3674.69711715653
39,"Control_10","Control",4454.62430303049
42,"Control_10","Control",3195.65285116338
45,"Control_10","Control",4038.1869743117
48,"Control_10","Control",5764.11877702811
51,"Control_10","Control",5067.63888229033
54,"Control_10","Control",4982.22549763141
57,"Control_10","Control",3633.43638339493
60,"Control_10","Control",4088.6308580915
0,"Control_11","Control",78.7307240712756
3,"Control_11","Control",157.2215069119
6,"Control_11","Control",346.017355425529
9,"Control_11","Control",358.394331648463
12,"Control_11","Control",697.276868881123
15,"Control_11","Control",1158.98956012094
18,"Control_11","Control",2515.9961275702
21,"Control_11","Control",1876.30457990771
24,"Control_11","Control",2181.6377528622
27,"Control_11","Control",4707.19778925113
30,"Control_11","Control",3441.2722125141
33,"Control_11","Control",3986.52929662177
36,"Control_11","Control",3499.70196972952
39,"Control_11","Control",5169.68289537296
42,"Control_11","Control",6264.96590469475
45,"Control_11","Control",4893.9315319039
48,"Control_11","Control",4063.60426736749
51,"Control_11","Control",2702.34048689202
54,"Control_11","Control",5964.89483167851
57,"Control_11","Control",4150.351927422
60,"Control_11","Control",6098.97889512454
0,"Control_12","Control",128.811637377579
3,"Control_12","Control",135.270710682728
6,"Control_12","Control",451.070336160138
9,"Control_12","Control",883.536293611841
12,"Control_12","Control",955.756184735139
15,"Control_12","Control",1321.57287212988
18,"Control_12","Control",1403.479694078
21,"Control_12","Control",1758.73725388004
24,"Control_12","Control",2466.52159615024
27,"Control_12","Control",2338.6678982197
30,"Control_12","Control",2984.79260429197
33,"Control_12","Control",3473.50456718589
36,"Control_12","Control",3925.72451077042
39,"Control_12","Control",2900.18381781528
42,"Control_12","Control",4307.27128987194
45,"Control_12","Control",5146.47921049237
48,"Control_12","Control",4689.29491156974
51,"Control_12","Control",4441.08010394875
54,"Control_12","Control",5422.49571998365
57,"Control_12","Control",4157.41656117653
60,"Control_12","Control",6660.02761512709
0,"Control_13","Control",94.2132825017644
3,"Control_13","Control",162.418040720284
6,"Control_13","Control",356.713098106639
9,"Control_13","Control",663.079718165968
12,"Control_13","Control",880.864137815085
15,"Control_13","Control",711.951709336947
18,"Control_13","Control",1384.25034987913
21,"Control_13","Control",1552.93865338047
24,"Control_13","Control",1985.58064857811
27,"Control_13","Control",2023.3510192128
30,"Control_13","Control",3823.85008755914
33,"Control_13","Control",2715.48609962986
36,"Control_13","Control",4800.37396957533
39,"Control_13","Control",4184.10413984062
42,"Control_13","Control",5308.05612781646
45,"Control_13","Control",4336.9181807872
48,"Control_13","Control",3554.71153410771
51,"Control_13","Control",3150.21732704683
54,"Control_13","Control",4202.64191763065
57,"Control_13","Control",5989.65543586185
60,"Control_13","Control",4775.4408900727
0,"Control_14","Control",91.5416085161739
3,"Control_14","Control",293.137419145813
6,"Control_14","Control",584.040609873596
9,"Control_14","Control",384.840487327867
12,"Control_14","Control",1248.30491979283
15,"Control_14","Control",1405.81995530497
18,"Control_14","Control",1202.26450713554
21,"Control_14","Control",2489.48832779179
24,"Control_14","Control",2202.6513954942
27,"Control_14","Control",2274.74652337498
30,"Control_14","Control",4175.75374410132
33,"Control_14","Control",3238.60439989719
36,"Control_14","Control",3732.21281468216
39,"Control_14","Control",3701.91186254104
42,"Control_14","Control",3071.38510949714
45,"Control_14","Control",3002.93430449961
48,"Control_14","Control",6936.42742251448
51,"Control_14","Control",5878.09188099616
54,"Control_14","Control",4687.72980951135
57,"Control_14","Control",6068.90769928747
60,"Control_14","Control",4133.70551702492
0,"Control_15","Control",116.744256446323
3,"Control_15","Control",349.669898625144
6,"Control_15","Control",409.490819826337
9,"Control_15","Control",609.859954261728
12,"Control_15","Control",909.560905408967
15,"Control_15","Control",1093.38419104602
18,"Control_15","Control",1156.82572835968
21,"Control_15","Control",1680.59820863032
24,"Control_15","Control",2173.40151909606
27,"Control_15","Control",2246.21169811873
30,"Control_15","Control",3280.99988422714
33,"Control_15","Control",2569.37597789659
36,"Control_15","Control",3228.91498578264
39,"Control_15","Control",3741.79601325121
42,"Control_15","Control",5847.489472206
45,"Control_15","Control",3558.13512396899
48,"Control_15","Control",4143.47423954393
51,"Control_15","Control",4816.60124127024
54,"Control_15","Control",3776.92271403847
57,"Control_15","Control",6809.77069574311
60,"Control_15","Control",5662.25059063539
0,"Control_16","Control",121.858253509114
