"Day","Animal","Group","TV"
0,"Control_1","Control",115.50796492354
3,"Control_1","Control",122.570385430506
6,"Control_1","Control",202.049351955203
9,"Control_1","Control",292.685021245715
12,"Control_1","Control",507.79782492237
15,"Control_1","Control",876.196882690381
18,"Control_1","Control",969.730532992809
21,"Control_1","Control",817.012931827595
24,"Control_1","Control",504.747471860353
0,"Control_2","Control",155.963580123369
3,"Control_2","Control",136.155306644069
6,"Control_2","Control",220.233318447324
9,"Control_2","Control",370.690157421249
12,"Control_2","Control",685.002601099985
15,"Control_2","Control",751.391641596593
18,"Control_2","Control",1356.98465217627
21,"Control_2","Control",2538.45993036748
24,"Control_2","Control",1785.09726690258
0,"Control_3","Control",87.5417621314246
3,"Control_3","Control",151.632019659189
6,"Control_3","Control",216.892478444825
9,"Control_3","Control",209.025530320039
12,"Control_3","Control",282.472279276489
15,"Control_3","Control",344.73581649972
18,"Control_3","Control",350.928194931754
21,"Control_3","Control",683.53967008159
24,"Control_3","Control",1451.54128826442
0,"Control_4","Control",126.123048480151
3,"Control_4","Control",232.294376329703
6,"Control_4","Control",262.074364954377
9,"Control_4","Control",283.580051290202
12,"Control_4","Control",483.541079196254
15,"Control_4","Control",619.759447228789
18,"Control_4","Control",1571.74406063312
21,"Control_4","Control",1426.93450420624
24,"Control_4","Control",1539.20259609799
0,"Control_5","Control",105.668332644962
3,"Control_5","Control",138.431886820903
6,"Control_5","Control",298.555365509879
9,"Control_5","Control",361.007296291291
12,"Control_5","Control",754.506858135326
15,"Control_5","Control",1437.40546306787
18,"Control_5","Control",1936.50095738224
21,"Control_5","Control",3760.97454780476
24,"Control_5","Control",3350.7630655331
0,"Control_6","Control",75.1769365534769
3,"Control_6","Control",72.4225163335308
6,"Control_6","Control",64.596522045516
9,"Control_6","Control",77.3332991512364
12,"Control_6","Control",114.50615879878
15,"Control_6","Control",120.136754165548
18,"Control_6","Control",200.733626054414
21,"Control_6","Control",282.912151161617
24,"Control_6","Control",229.542897990019
0,"Control_7","Control",67.1183896694821
3,"Control_7","Control",56.8402158948046
